generator,eval_model,mode,dataset,setting,total,correct,accuracy,stderr,random_baseline,delta_over_random,above_chance_fraction,results_path,config_root
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,gpqa,augment_ablation,442,79,0.17873303167420815,0.01822356978248477,0.1,0.07873303167420814,0.08748114630467571,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/gpqa/augment_ablation/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/gpqa/augment_ablation
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,gpqa,augment_ablation,442,97,0.21945701357466063,0.019686205334435946,0.1,0.11945701357466063,0.13273001508295626,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/gpqa/augment_ablation/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/gpqa/augment_ablation
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,gpqa,augment_human,442,70,0.1583710407239819,0.017365491746094492,0.1,0.05837104072398189,0.06485671191553542,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/gpqa/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/gpqa/augment_human
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,gpqa,augment_human,442,58,0.13122171945701358,0.016060024554378372,0.1,0.031221719457013575,0.03469079939668175,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/gpqa/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/gpqa/augment_human
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,gpqa,augment_human,442,79,0.17873303167420815,0.01822356978248477,0.1,0.07873303167420814,0.08748114630467571,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/gpqa/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/gpqa/augment_human
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,gpqa,augment_model,442,99,0.2239819004524887,0.0198303899009788,0.1,0.12398190045248869,0.13775766716943189,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/gpqa/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/gpqa/augment_model
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,gpqa,augment_model,442,72,0.16289592760180996,0.017564415665642444,0.1,0.06289592760180995,0.06988436400201106,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/gpqa/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/gpqa/augment_model
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,gpqa,augment_model,442,78,0.17647058823529413,0.01813278821426787,0.1,0.07647058823529412,0.08496732026143791,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/gpqa/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/gpqa/augment_model
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,mmlu_pro,augment_ablation,998,234,0.23446893787575152,0.013410926924307159,0.1,0.1344689378757515,0.14940993097305724,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/mmlu_pro/augment_ablation/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/mmlu_pro/augment_ablation
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,mmlu_pro,augment_ablation,998,224,0.22444889779559118,0.013206832736724088,0.1,0.12444889779559118,0.13827655310621242,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/mmlu_pro/augment_ablation/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/mmlu_pro/augment_ablation
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,mmlu_pro,augment_ablation,998,230,0.23046092184368738,0.01333056988780722,0.1,0.13046092184368738,0.1449565798263193,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/mmlu_pro/augment_ablation/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/mmlu_pro/augment_ablation
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,mmlu_pro,augment_human,998,205,0.20541082164328658,0.012788444182320426,0.1,0.10541082164328658,0.1171231351592073,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/mmlu_pro/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/mmlu_pro/augment_human
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,mmlu_pro,augment_human,998,155,0.15531062124248496,0.011465257801054788,0.1,0.05531062124248495,0.06145624582498328,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/mmlu_pro/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/mmlu_pro/augment_human
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,mmlu_pro,augment_human,998,185,0.18537074148296592,0.012300855733996661,0.1,0.08537074148296592,0.09485637942551768,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/mmlu_pro/augment_human/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/mmlu_pro/augment_human
gpt-5.2-2025-12-11,Qwen_Qwen3-4B-Instruct-2507,choices_only,mmlu_pro,augment_model,998,195,0.19539078156312625,0.012551027073689464,0.1,0.09539078156312625,0.1059897572923625,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/mmlu_pro/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/Qwen_Qwen3-4B-Instruct-2507/choices_only/mmlu_pro/augment_model
gpt-5.2-2025-12-11,allenai_Olmo-3-7B-Instruct,choices_only,mmlu_pro,augment_model,998,180,0.18036072144288579,0.012170743016539164,0.1,0.08036072144288578,0.08928969049209531,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/mmlu_pro/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/allenai_Olmo-3-7B-Instruct/choices_only/mmlu_pro/augment_model
gpt-5.2-2025-12-11,meta-llama_Llama-3.1-8B-Instruct,choices_only,mmlu_pro,augment_model,998,210,0.21042084168336672,0.012902591398561248,0.1,0.11042084168336672,0.12268982409262968,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/mmlu_pro/augment_model/summary.json,/Users/ndesai-air/Documents/GitHub/augmented-mcqa/results/final5_full_gpt-5.2-2025-12-11_20260226_001349/gpt-5.2-2025-12-11/meta-llama_Llama-3.1-8B-Instruct/choices_only/mmlu_pro/augment_model
