analysis_label,dataset,target,term_label,coef,cluster_se_by_stem,standardized_coef,r2,n_items,n_stems
4-choice from-scratch,arc_challenge,difficulty,Qwen source vs Human,0.1541302104684691,0.0210887565194441,0.0391758020185988,0.0124288979210581,5970,995
4-choice from-scratch,gpqa,difficulty,GPT source vs Human,0.2759255551707047,0.0002271032510883,0.7721905860514157,0.5596911664929584,2604,434
4-choice from-scratch,gpqa,difficulty,Gemini source vs Human,0.1069503584631291,0.0002377449513429,0.2993055859902493,0.5596911664929584,2604,434
4-choice from-scratch,gpqa,difficulty,Per additional writing flaw,0.0034827435450579,0.0013006113049689,0.0414652806740673,0.5596911664929584,2604,434
4-choice from-scratch,gpqa,difficulty,Qwen source vs Human,0.0410721017622269,0.0003461061058086,0.1149421999369221,0.5596911664929584,2604,434
4-choice from-scratch,mmlu_pro,difficulty,GPT source vs Human,0.3220992181544889,0.0252219500024135,0.071321940546422,0.0463711367312204,5964,994
4-choice from-scratch,mmlu_pro,difficulty,Gemini source vs Human,0.191561366234946,0.0244796739261386,0.0424171423075209,0.0463711367312204,5964,994
4-choice from-scratch,mmlu_pro,difficulty,Per additional writing flaw,0.1932728307240112,0.0248781208304111,0.2046707281222084,0.0463711367312204,5964,994
4-choice from-scratch,mmlu_pro,difficulty,Qwen source vs Human,0.0409469661199663,0.0229991992823591,0.0090668245017716,0.0463711367312204,5964,994
4-choice from-scratch,arc_challenge,discrimination,GPT source vs Human,0.0143382713554382,0.0092618632739489,0.0210993140371641,0.0011420252219295,5970,995
4-choice from-scratch,arc_challenge,discrimination,Gemini source vs Human,0.0097322844370669,0.0087501207700606,0.0143214283330463,0.0011420252219295,5970,995
4-choice from-scratch,arc_challenge,discrimination,Per additional writing flaw,0.004050456107806,0.0037518105939561,0.0201016544248445,0.0011420252219295,5970,995
4-choice from-scratch,arc_challenge,discrimination,Qwen source vs Human,-0.003098608702779,0.0091684180415246,-0.0045597210763784,0.0011420252219295,5970,995
4-choice from-scratch,gpqa,discrimination,GPT source vs Human,-4.256308856079238e-07,1.4969127198096952e-07,-0.0564996843351324,0.0046991225391462,2604,434
4-choice from-scratch,gpqa,discrimination,Gemini source vs Human,-6.967779569224065e-08,1.410082442709796e-07,-0.009249266429894,0.0046991225391462,2604,434
4-choice from-scratch,gpqa,discrimination,Per additional writing flaw,-6.643153465152382e-08,5.103824282993814e-08,-0.0375161019823677,0.0046991225391462,2604,434
4-choice from-scratch,gpqa,discrimination,Qwen source vs Human,-2.536751981517595e-07,1.4991044101946406e-07,-0.0336737043853279,0.0046991225391462,2604,434
4-choice from-scratch,mmlu_pro,discrimination,GPT source vs Human,0.0130450570889932,0.009587815582786,0.0174395851623046,0.0117514572943576,5964,994
4-choice from-scratch,mmlu_pro,discrimination,Gemini source vs Human,0.0032070034624572,0.010042436710024,0.0042873564766932,0.0117514572943576,5964,994
4-choice from-scratch,mmlu_pro,discrimination,Per additional writing flaw,-0.0164802816165436,0.0029284505507475,-0.1053673945877662,0.0117514572943576,5964,994
4-choice from-scratch,mmlu_pro,discrimination,Qwen source vs Human,-0.0123017453160445,0.009852683169812,-0.0164458716907536,0.0117514572943576,5964,994
