analysis,analysis_label,dataset,target,model,features,n_items,n_stems,rank,r2,delta_r2_from_full
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,source_plus_ablation,source_GPT+source_Gemini+source_Qwen+is_ablation,8946,994,5,0.004712795301404671,0.044259431131446814
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,8946,994,5,0.04660254037984435,0.002369686053007136
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,ablation_plus_flaws,is_ablation+n_flaws,8946,994,3,0.04602431032122967,0.0029479161116218178
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,full,source_GPT+source_Gemini+source_Qwen+is_ablation+n_flaws,8946,994,6,0.048972226432851484,0.0
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,drop_source_from_full,is_ablation+n_flaws,8946,994,3,0.04602431032122967,0.0029479161116218178
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,drop_ablation_from_full,source_GPT+source_Gemini+source_Qwen+n_flaws,8946,994,5,0.04660254037984435,0.002369686053007136
10_choice_augmentation,10-choice augmentation,mmlu_pro,difficulty,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen+is_ablation,8946,994,5,0.004712795301404671,0.044259431131446814
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,intercept_only,intercept,8946,994,1,0.0,0.016807066846806662
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,8946,994,4,0.010069656665244064,0.0067374101815625975
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,ablation_only,is_ablation,8946,994,2,0.0005773291066764052,0.016229737740130257
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,flaws_only,n_flaws,8946,994,2,0.005727156189304972,0.01107991065750169
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,source_plus_ablation,source_GPT+source_Gemini+source_Qwen+is_ablation,8946,994,5,0.010108563761309863,0.006698503085496799
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+n_flaws,8946,994,5,0.01676089420769089,4.61726391157713e-05
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,ablation_plus_flaws,is_ablation+n_flaws,8946,994,3,0.006408720988402283,0.010398345858404379
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,full,source_GPT+source_Gemini+source_Qwen+is_ablation+n_flaws,8946,994,6,0.016807066846806662,0.0
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,drop_source_from_full,is_ablation+n_flaws,8946,994,3,0.006408720988402283,0.010398345858404379
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,drop_ablation_from_full,source_GPT+source_Gemini+source_Qwen+n_flaws,8946,994,5,0.01676089420769089,4.61726391157713e-05
10_choice_augmentation,10-choice augmentation,mmlu_pro,discrimination,drop_flaws_from_full,source_GPT+source_Gemini+source_Qwen+is_ablation,8946,994,5,0.010108563761309863,0.006698503085496799
