dataset,target,model,features,n_rows,rank,r2,delta_r2_from_full
gpqa,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+mean_flaws,8,5,0.9581304888340666,0.03813550235684049
gpqa,difficulty,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+mean_flaws,8,6,0.9962659911909071,0.0
gpqa,difficulty,drop_augmentation_from_full,full minus is_augmentation,8,5,0.9581304888340666,0.03813550235684049
gpqa,difficulty,drop_source_from_full,full minus source dummies,8,3,0.9485307839251934,0.047735207265713675
gpqa,difficulty,drop_flaws_from_full,full minus mean_flaws,8,5,0.9961504086150876,0.00011558257581945064
gpqa,discrimination,intercept_only,intercept,8,1,0.0,0.7284028891467806
gpqa,discrimination,augmentation_only,is_augmentation,8,2,0.5363499038387478,0.19205298530803283
gpqa,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,8,4,0.18290304159744075,0.5454998475493399
gpqa,discrimination,flaws_only,mean_flaws,8,2,0.1795964952932806,0.5488063938535
gpqa,discrimination,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,8,5,0.7192529455101777,0.00914994363660293
gpqa,discrimination,augmentation_plus_flaws,is_augmentation+mean_flaws,8,3,0.7220175826124237,0.006385306534356983
gpqa,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+mean_flaws,8,5,0.6652261967832509,0.06317669236352974
gpqa,discrimination,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+mean_flaws,8,6,0.7284028891467806,0.0
gpqa,discrimination,drop_augmentation_from_full,full minus is_augmentation,8,5,0.6652261967832509,0.06317669236352974
gpqa,discrimination,drop_source_from_full,full minus source dummies,8,3,0.7220175826124237,0.006385306534356983
gpqa,discrimination,drop_flaws_from_full,full minus mean_flaws,8,5,0.7192529455101777,0.00914994363660293
mmlu_pro,difficulty,intercept_only,intercept,8,1,0.0,0.9971675005375381
mmlu_pro,difficulty,augmentation_only,is_augmentation,8,2,0.8648314768640161,0.13233602367352204
mmlu_pro,difficulty,source_only,source_GPT+source_Gemini+source_Qwen,8,4,0.1314663260464628,0.8657011744910753
mmlu_pro,difficulty,flaws_only,mean_flaws,8,2,0.6719188297295295,0.32524867080800857
mmlu_pro,difficulty,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,8,5,0.9962978029104788,0.0008696976270593515
mmlu_pro,difficulty,augmentation_plus_flaws,is_augmentation+mean_flaws,8,3,0.8658216267105459,0.13134587382699225
mmlu_pro,difficulty,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+mean_flaws,8,5,0.9833830015469002,0.013784498990637939
mmlu_pro,difficulty,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+mean_flaws,8,6,0.9971675005375381,0.0
mmlu_pro,difficulty,drop_augmentation_from_full,full minus is_augmentation,8,5,0.9833830015469002,0.013784498990637939
mmlu_pro,difficulty,drop_source_from_full,full minus source dummies,8,3,0.8658216267105459,0.13134587382699225
mmlu_pro,difficulty,drop_flaws_from_full,full minus mean_flaws,8,5,0.9962978029104788,0.0008696976270593515
mmlu_pro,discrimination,intercept_only,intercept,8,1,0.0,0.8706861504296622
mmlu_pro,discrimination,augmentation_only,is_augmentation,8,2,0.5188417642482465,0.3518443861814158
mmlu_pro,discrimination,source_only,source_GPT+source_Gemini+source_Qwen,8,4,0.3165534060442844,0.5541327443853779
mmlu_pro,discrimination,flaws_only,mean_flaws,8,2,0.2109743004757848,0.6597118499538774
mmlu_pro,discrimination,augmentation_plus_source,is_augmentation+source_GPT+source_Gemini+source_Qwen,8,5,0.8353951702925306,0.03529098013713161
mmlu_pro,discrimination,augmentation_plus_flaws,is_augmentation+mean_flaws,8,3,0.6243871715789269,0.24629897885073537
mmlu_pro,discrimination,source_plus_flaws,source_GPT+source_Gemini+source_Qwen+mean_flaws,8,5,0.7812806891444894,0.0894054612851728
mmlu_pro,discrimination,full,is_augmentation+source_GPT+source_Gemini+source_Qwen+mean_flaws,8,6,0.8706861504296622,0.0
mmlu_pro,discrimination,drop_augmentation_from_full,full minus is_augmentation,8,5,0.7812806891444894,0.0894054612851728
mmlu_pro,discrimination,drop_source_from_full,full minus source dummies,8,3,0.6243871715789269,0.24629897885073537
mmlu_pro,discrimination,drop_flaws_from_full,full minus mean_flaws,8,5,0.8353951702925306,0.03529098013713161
