gen_run,gen_model,dataset,setting,reason,count
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;human=3;model=26,17
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,options=10;correct=G;model=26,13
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_ablation,options=10;correct=E;model=26,10
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_model,options=10;correct=G;model=26,10
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_model,options=10;correct=E;model=26,9
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;human=3;model=26,9
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;correct=H;human=3;model=26,8
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,options=10;correct=E;model=26,8
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,options=10;correct=J;model=26,8
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_ablation,options=10;correct=J;model=26,8
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;human=3;model=26,6
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,options=10;correct=I;model=26,6
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;correct=H;human=3;model=26,6
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_model,options=10;correct=H;model=26,6
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_model,options=10;correct=I;model=26,6
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_ablation,options=10;correct=F;model=26,5
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_model,options=10;model=26,5
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,options=10;correct=H;model=26,5
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,options=10;correct=E;model=26,5
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_model,options=10;model=26,5
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,human_from_scratch,human=26,4
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_model,options=10;correct=J;model=26,4
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_ablation,options=10;model=26,4
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,options=10;correct=F;model=26,4
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_model,options=10;correct=F;model=26,4
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,human_from_scratch,human=26,4
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_ablation,options=10;correct=G;model=26,4
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,options=10;correct=J;model=26,3
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_ablation,options=10;correct=H;model=26,3
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_model,options=10;correct=G;model=26,3
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_model,options=10;correct=F;model=26,3
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_model,options=10;correct=G;model=26,3
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,model_from_scratch,model=26,3
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;correct=E;human=3;model=26,3
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_model,options=10;correct=E;model=26,3
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_model,options=10;correct=F;model=26,3
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;human=3;model=26,3
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,options=10;correct=I;model=26,2
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_model,options=10;correct=F;model=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_ablation,options=10;correct=I;model=26,2
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,options=10;correct=H;model=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,model_from_scratch,model=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;human=26;model=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_ablation,options=10;correct=I;model=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,human_from_scratch,human=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;correct=F;human=3;model=26,2
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_ablation,options=10;correct=G;model=26,2
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,human_from_scratch,human=26,2
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;human=26;model=26,2
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_ablation,options=10;correct=I;model=26,2
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_ablation,options=10;model=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;correct=I;human=3;model=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;correct=J;human=3;model=26,2
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;correct=J;human=3;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;correct=E;human=26;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;correct=H;human=26;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;correct=G;human=3;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;correct=H;human=3;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;correct=G;human=3;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;correct=E;human=26;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;correct=F;human=3;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,gpqa,augment_human,options=10;correct=J;human=26;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;correct=E;human=3;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,mmlu_pro,augment_human,options=10;correct=I;human=3;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_model,options=10;correct=E;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_ablation,options=10;correct=F;model=26,1
gemini_from_scratch_testing,google_gemini-3.1-pro-preview,arc_challenge,augment_model,options=10;correct=I;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_ablation,options=10;correct=G;model=26,1
gen_gpt52_v2,openai_gpt-5.2-2025-12-11,mmlu_pro,augment_ablation,options=0;model=0,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_ablation,options=10;correct=H;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_ablation,options=10;correct=E;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_model,options=10;correct=I;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,arc_challenge,augment_ablation,options=10;correct=F;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;correct=E;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;correct=J;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;correct=H;human=26;model=6,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;correct=F;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;correct=G;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;correct=E;human=26;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,mmlu_pro,augment_human,options=10;correct=I;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,model_from_scratch,model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;correct=H;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;correct=G;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;correct=F;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;correct=J;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;correct=J;human=26;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;correct=E;human=26;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;correct=E;human=3;model=26,1
together_from_scratch_testing,together_Qwen_Qwen3.5-397B-A17B,gpqa,augment_human,options=10;correct=I;human=3;model=26,1
