item_id,dataset,sample_id,generator,setting,vllm/Qwen/Qwen3-14B,vllm/Qwen/Qwen3-4B-Instruct-2507,vllm/allenai/Olmo-3-7B-Instruct,vllm/meta-llama/Llama-3.1-8B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,n_evaluators,n_correct,mean_correct,correctness_variance,all_evaluators_same,correctness_pattern,difficulty,discrimination,guessing
gpqa::gpqa:rec06pnAkLOr2t2mp::openai/gpt-5.2-2025-12-11::model_from_scratch,gpqa,gpqa:rec06pnAkLOr2t2mp,openai/gpt-5.2-2025-12-11,model_from_scratch,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,001000,18.9717068117698,0.9999977476774876,0.2072100184268568
gpqa::gpqa:rec06pnAkLOr2t2mp::together/Qwen/Qwen3.5-397B-A17B::augment_ablation,gpqa,gpqa:rec06pnAkLOr2t2mp,together/Qwen/Qwen3.5-397B-A17B,augment_ablation,0.0,0.0,0.0,1.0,0.0,1.0,6,2.0,0.3333333333333333,0.22222222222222224,False,000101,19.13868438284856,1.0000010330653086,0.1990930312767495
gpqa::gpqa:rec06pnAkLOr2t2mp::together/Qwen/Qwen3.5-397B-A17B::augment_human,gpqa,gpqa:rec06pnAkLOr2t2mp,together/Qwen/Qwen3.5-397B-A17B,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.28519714252217,0.9999967656590464,0.0685797992716867
gpqa::gpqa:rec06pnAkLOr2t2mp::together/Qwen/Qwen3.5-397B-A17B::augment_model,gpqa,gpqa:rec06pnAkLOr2t2mp,together/Qwen/Qwen3.5-397B-A17B,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.333070905319936,0.9999967791545296,0.0685797992716881
gpqa::gpqa:rec06pnAkLOr2t2mp::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,gpqa,gpqa:rec06pnAkLOr2t2mp,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,1.0,1.0,1.0,0.0,0.0,1.0,6,4.0,0.6666666666666666,0.22222222222222224,False,111001,18.595055850337918,1.0000032506700374,0.4901943323048259
gpqa::gpqa:rec06pnAkLOr2t2mp::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,gpqa,gpqa:rec06pnAkLOr2t2mp,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,001000,18.736065245241043,0.9999977814417084,0.2072100650108778
gpqa::gpqa:rec0Arme2jcXQZnAW::google/gemini-3.1-pro-preview::augment_ablation,gpqa,gpqa:rec0Arme2jcXQZnAW,google/gemini-3.1-pro-preview,augment_ablation,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,000100,19.236292402856154,0.9999988320734268,0.1249147114748982
gpqa::gpqa:rec0Arme2jcXQZnAW::google/gemini-3.1-pro-preview::augment_human,gpqa,gpqa:rec0Arme2jcXQZnAW,google/gemini-3.1-pro-preview,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.38281164529547,0.9999972357239127,0.0685797992716803
gpqa::gpqa:rec0Arme2jcXQZnAW::google/gemini-3.1-pro-preview::augment_model,gpqa,gpqa:rec0Arme2jcXQZnAW,google/gemini-3.1-pro-preview,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.43068538699906,0.9999972563065852,0.0685797992716908
gpqa::gpqa:rec0Arme2jcXQZnAW::google/gemini-3.1-pro-preview::human_from_scratch,gpqa,gpqa:rec0Arme2jcXQZnAW,google/gemini-3.1-pro-preview,human_from_scratch,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,18.692654549474508,0.9999974321626884,0.1315100033590244
gpqa::gpqa:rec0Arme2jcXQZnAW::google/gemini-3.1-pro-preview::model_from_scratch,gpqa,gpqa:rec0Arme2jcXQZnAW,google/gemini-3.1-pro-preview,model_from_scratch,0.0,0.0,0.0,0.0,1.0,0.0,6,1.0,0.16666666666666666,0.1388888888888889,False,000010,18.83367919778945,0.999997712337221,0.20720996451474
gpqa::gpqa:rec0Arme2jcXQZnAW::openai/gpt-5.2-2025-12-11::augment_ablation,gpqa,gpqa:rec0Arme2jcXQZnAW,openai/gpt-5.2-2025-12-11,augment_ablation,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.40571134702635,0.9999967742685568,0.0685797992716927
gpqa::gpqa:rec0Arme2jcXQZnAW::openai/gpt-5.2-2025-12-11::augment_human,gpqa,gpqa:rec0Arme2jcXQZnAW,openai/gpt-5.2-2025-12-11,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.55223609628804,0.9999969778996084,0.0685797992716879
gpqa::gpqa:rec0Arme2jcXQZnAW::openai/gpt-5.2-2025-12-11::augment_model,gpqa,gpqa:rec0Arme2jcXQZnAW,openai/gpt-5.2-2025-12-11,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.600109846669227,0.999996996152197,0.0685797992716858
gpqa::gpqa:rec0Arme2jcXQZnAW::openai/gpt-5.2-2025-12-11::human_from_scratch,gpqa,gpqa:rec0Arme2jcXQZnAW,openai/gpt-5.2-2025-12-11,human_from_scratch,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,18.862079105925872,0.9999971498983408,0.1315100033590207
gpqa::gpqa:rec0Arme2jcXQZnAW::openai/gpt-5.2-2025-12-11::model_from_scratch,gpqa,gpqa:rec0Arme2jcXQZnAW,openai/gpt-5.2-2025-12-11,model_from_scratch,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.003100877160502,0.9999966122950698,0.1315100033590239
gpqa::gpqa:rec0Arme2jcXQZnAW::together/Qwen/Qwen3.5-397B-A17B::augment_ablation,gpqa,gpqa:rec0Arme2jcXQZnAW,together/Qwen/Qwen3.5-397B-A17B,augment_ablation,0.0,0.0,0.0,1.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,000100,19.170075710509938,0.9999981966820094,0.1249147552428184
gpqa::gpqa:rec0Arme2jcXQZnAW::together/Qwen/Qwen3.5-397B-A17B::augment_human,gpqa,gpqa:rec0Arme2jcXQZnAW,together/Qwen/Qwen3.5-397B-A17B,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.31659441942466,0.9999967740296224,0.0685797992716941
gpqa::gpqa:rec0Arme2jcXQZnAW::together/Qwen/Qwen3.5-397B-A17B::augment_model,gpqa,gpqa:rec0Arme2jcXQZnAW,together/Qwen/Qwen3.5-397B-A17B,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.364468181766306,0.9999967876471776,0.0685797992716884
gpqa::gpqa:rec0Arme2jcXQZnAW::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,gpqa,gpqa:rec0Arme2jcXQZnAW,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,18.626437563945043,0.9999969013718836,0.1315100033590256
gpqa::gpqa:rec0Arme2jcXQZnAW::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,gpqa,gpqa:rec0Arme2jcXQZnAW,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,0.0,0.0,0.0,0.0,1.0,1.0,6,2.0,0.3333333333333333,0.22222222222222224,False,000011,18.767466412330783,0.9999994672334224,0.2952487568754918
gpqa::gpqa:rec0LlchAeJwY28ZY::google/gemini-3.1-pro-preview::augment_ablation,gpqa,gpqa:rec0LlchAeJwY28ZY,google/gemini-3.1-pro-preview,augment_ablation,1.0,1.0,1.0,1.0,0.0,0.0,6,4.0,0.6666666666666666,0.22222222222222224,False,111100,19.147238189917395,1.0000076055766878,0.3813027647335178
gpqa::gpqa:rec0LlchAeJwY28ZY::google/gemini-3.1-pro-preview::augment_human,gpqa,gpqa:rec0LlchAeJwY28ZY,google/gemini-3.1-pro-preview,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.29373953269832,0.9999972049811884,0.0685797992716834
gpqa::gpqa:rec0LlchAeJwY28ZY::google/gemini-3.1-pro-preview::augment_model,gpqa,gpqa:rec0LlchAeJwY28ZY,google/gemini-3.1-pro-preview,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.341613275466468,0.9999972255313592,0.0685797992716979
gpqa::gpqa:rec0LlchAeJwY28ZY::google/gemini-3.1-pro-preview::human_from_scratch,gpqa,gpqa:rec0LlchAeJwY28ZY,google/gemini-3.1-pro-preview,human_from_scratch,1.0,0.0,0.0,1.0,0.0,1.0,6,3.0,0.5,0.25,False,100101,18.603591834454,1.000001901194684,0.3908893446280452
gpqa::gpqa:rec0LlchAeJwY28ZY::google/gemini-3.1-pro-preview::model_from_scratch,gpqa,gpqa:rec0LlchAeJwY28ZY,google/gemini-3.1-pro-preview,model_from_scratch,1.0,0.0,0.0,0.0,1.0,0.0,6,2.0,0.3333333333333333,0.22222222222222224,False,100010,18.74461246833233,0.9999992345429426,0.2952487906901287
gpqa::gpqa:rec0LlchAeJwY28ZY::openai/gpt-5.2-2025-12-11::augment_ablation,gpqa,gpqa:rec0LlchAeJwY28ZY,openai/gpt-5.2-2025-12-11,augment_ablation,1.0,1.0,1.0,1.0,1.0,0.0,6,5.0,0.8333333333333334,0.1388888888888889,False,111110,19.31666844143273,1.0000101404813653,0.480402781377318
gpqa::gpqa:rec0LlchAeJwY28ZY::openai/gpt-5.2-2025-12-11::augment_human,gpqa,gpqa:rec0LlchAeJwY28ZY,openai/gpt-5.2-2025-12-11,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.46316397375193,0.9999969509275892,0.0685797992716976
gpqa::gpqa:rec0LlchAeJwY28ZY::openai/gpt-5.2-2025-12-11::augment_model,gpqa,gpqa:rec0LlchAeJwY28ZY,openai/gpt-5.2-2025-12-11,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.51103772519079,0.9999969689592608,0.068579799271683
gpqa::gpqa:rec0LlchAeJwY28ZY::openai/gpt-5.2-2025-12-11::human_from_scratch,gpqa,gpqa:rec0LlchAeJwY28ZY,openai/gpt-5.2-2025-12-11,human_from_scratch,1.0,0.0,0.0,1.0,0.0,1.0,6,3.0,0.5,0.25,False,100101,18.773017482435048,1.00000175124887,0.3908891515892874
gpqa::gpqa:rec0LlchAeJwY28ZY::openai/gpt-5.2-2025-12-11::model_from_scratch,gpqa,gpqa:rec0LlchAeJwY28ZY,openai/gpt-5.2-2025-12-11,model_from_scratch,1.0,1.0,0.0,0.0,1.0,0.0,6,3.0,0.5,0.25,False,110010,18.914042515399743,1.0000007278184575,0.3908885123463101
gpqa::gpqa:rec0LlchAeJwY28ZY::together/Qwen/Qwen3.5-397B-A17B::augment_ablation,gpqa,gpqa:rec0LlchAeJwY28ZY,together/Qwen/Qwen3.5-397B-A17B,augment_ablation,1.0,1.0,1.0,1.0,0.0,0.0,6,4.0,0.6666666666666666,0.22222222222222224,False,111100,19.081023781587422,1.000005623708772,0.3813023872760107
gpqa::gpqa:rec0LlchAeJwY28ZY::together/Qwen/Qwen3.5-397B-A17B::augment_human,gpqa,gpqa:rec0LlchAeJwY28ZY,together/Qwen/Qwen3.5-397B-A17B,augment_human,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,001000,19.227527225682213,0.9999985618064392,0.1249146902803523
gpqa::gpqa:rec0LlchAeJwY28ZY::together/Qwen/Qwen3.5-397B-A17B::augment_model,gpqa,gpqa:rec0LlchAeJwY28ZY,together/Qwen/Qwen3.5-397B-A17B,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.275396043729845,0.9999967656142008,0.0685797992716814
gpqa::gpqa:rec0LlchAeJwY28ZY::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,gpqa,gpqa:rec0LlchAeJwY28ZY,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,1.0,0.0,0.0,1.0,0.0,1.0,6,3.0,0.5,0.25,False,100101,18.537377425801203,1.0000014565311233,0.3908888469474659
gpqa::gpqa:rec0LlchAeJwY28ZY::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,gpqa,gpqa:rec0LlchAeJwY28ZY,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,1.0,1.0,0.0,0.0,1.0,0.0,6,3.0,0.5,0.25,False,110010,18.67840192964545,1.0000002596620914,0.3908882113797132
gpqa::gpqa:rec0OlNe6zQJU1ps4::google/gemini-3.1-pro-preview::augment_ablation,gpqa,gpqa:rec0OlNe6zQJU1ps4,google/gemini-3.1-pro-preview,augment_ablation,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,001000,19.228465157304285,0.9999987803058984,0.1249146618107438
gpqa::gpqa:rec0OlNe6zQJU1ps4::google/gemini-3.1-pro-preview::augment_human,gpqa,gpqa:rec0OlNe6zQJU1ps4,google/gemini-3.1-pro-preview,augment_human,0.0,0.0,0.0,0.0,1.0,0.0,6,1.0,0.16666666666666666,0.1388888888888889,False,000010,19.37498894754629,0.999998790935178,0.124914620774816
gpqa::gpqa:rec0OlNe6zQJU1ps4::google/gemini-3.1-pro-preview::augment_model,gpqa,gpqa:rec0OlNe6zQJU1ps4,google/gemini-3.1-pro-preview,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.422859135930896,0.9999972529836938,0.0685797992716833
gpqa::gpqa:rec0OlNe6zQJU1ps4::google/gemini-3.1-pro-preview::human_from_scratch,gpqa,gpqa:rec0OlNe6zQJU1ps4,google/gemini-3.1-pro-preview,human_from_scratch,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,18.68482829967755,0.9999974287573592,0.1315100033590113
gpqa::gpqa:rec0OlNe6zQJU1ps4::google/gemini-3.1-pro-preview::model_from_scratch,gpqa,gpqa:rec0OlNe6zQJU1ps4,google/gemini-3.1-pro-preview,model_from_scratch,0.0,0.0,1.0,0.0,1.0,0.0,6,2.0,0.3333333333333333,0.22222222222222224,False,001010,18.82585583973697,0.9999993306559436,0.2952485404751268
gpqa::gpqa:rec0OlNe6zQJU1ps4::openai/gpt-5.2-2025-12-11::augment_ablation,gpqa,gpqa:rec0OlNe6zQJU1ps4,openai/gpt-5.2-2025-12-11,augment_ablation,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.39788509302645,0.999996771857887,0.068579799271694
gpqa::gpqa:rec0OlNe6zQJU1ps4::openai/gpt-5.2-2025-12-11::augment_human,gpqa,gpqa:rec0OlNe6zQJU1ps4,openai/gpt-5.2-2025-12-11,augment_human,0.0,0.0,0.0,0.0,1.0,0.0,6,1.0,0.16666666666666666,0.1388888888888889,False,000010,19.544413795955823,0.9999986601845354,0.124914642557035
gpqa::gpqa:rec0OlNe6zQJU1ps4::openai/gpt-5.2-2025-12-11::augment_model,gpqa,gpqa:rec0OlNe6zQJU1ps4,openai/gpt-5.2-2025-12-11,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.592283594375395,0.9999969932056044,0.0685797992716796
gpqa::gpqa:rec0OlNe6zQJU1ps4::openai/gpt-5.2-2025-12-11::human_from_scratch,gpqa,gpqa:rec0OlNe6zQJU1ps4,openai/gpt-5.2-2025-12-11,human_from_scratch,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,18.854252854948744,0.9999971467097314,0.1315100033590245
gpqa::gpqa:rec0OlNe6zQJU1ps4::openai/gpt-5.2-2025-12-11::model_from_scratch,gpqa,gpqa:rec0OlNe6zQJU1ps4,openai/gpt-5.2-2025-12-11,model_from_scratch,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0,0.16666666666666666,0.13888888888888892,False,001000,18.99527782776176,0.9999977492992976,0.2072100174985878
gpqa::gpqa:rec0OlNe6zQJU1ps4::together/Qwen/Qwen3.5-397B-A17B::augment_ablation,gpqa,gpqa:rec0OlNe6zQJU1ps4,together/Qwen/Qwen3.5-397B-A17B,augment_ablation,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.162243221813497,0.999996656469689,0.0685797992716802
gpqa::gpqa:rec0OlNe6zQJU1ps4::together/Qwen/Qwen3.5-397B-A17B::augment_human,gpqa,gpqa:rec0OlNe6zQJU1ps4,together/Qwen/Qwen3.5-397B-A17B,augment_human,0.0,0.0,0.0,0.0,1.0,0.0,6,1.0,0.16666666666666666,0.1388888888888889,False,000010,19.30877264542369,0.9999985368344118,0.1249146670203431
gpqa::gpqa:rec0OlNe6zQJU1ps4::together/Qwen/Qwen3.5-397B-A17B::augment_model,gpqa,gpqa:rec0OlNe6zQJU1ps4,together/Qwen/Qwen3.5-397B-A17B,augment_model,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.356641927583937,0.999996785344596,0.0685797992716869
gpqa::gpqa:rec0OlNe6zQJU1ps4::together/Qwen/Qwen3.5-397B-A17B::human_from_scratch,gpqa,gpqa:rec0OlNe6zQJU1ps4,together/Qwen/Qwen3.5-397B-A17B,human_from_scratch,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,18.61861131120213,0.9999968987095096,0.1315100033590335
gpqa::gpqa:rec0OlNe6zQJU1ps4::together/Qwen/Qwen3.5-397B-A17B::model_from_scratch,gpqa,gpqa:rec0OlNe6zQJU1ps4,together/Qwen/Qwen3.5-397B-A17B,model_from_scratch,0.0,0.0,1.0,0.0,0.0,1.0,6,2.0,0.3333333333333333,0.22222222222222224,False,001001,18.759640568392328,0.9999995034584216,0.295248796605666
gpqa::gpqa:rec0VuKUjt1SZ7NYv::google/gemini-3.1-pro-preview::augment_ablation,gpqa,gpqa:rec0VuKUjt1SZ7NYv,google/gemini-3.1-pro-preview,augment_ablation,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.207096041101657,0.9999969781540484,0.0685797992716832
gpqa::gpqa:rec0VuKUjt1SZ7NYv::google/gemini-3.1-pro-preview::augment_human,gpqa,gpqa:rec0VuKUjt1SZ7NYv,google/gemini-3.1-pro-preview,augment_human,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,True,000000,19.353620658739224,0.9999972249093984,0.0685797992716858
