dataset,target,term,coef,se,n_rows,rank,df_resid,r2,note
gpqa,difficulty,source_Gemini,0.07042128654712354,0.05759219616050037,8,6,2,0.9962659911909071,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,difficulty,source_Qwen,0.00860481836903753,0.07143888902301312,8,6,2,0.9962659911909071,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,difficulty,mean_flaws,0.05873269889599575,0.2360513263205513,8,6,2,0.9962659911909071,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,discrimination,intercept,1.0000012125895406,5.372926195845078e-06,8,6,2,0.7284028891467806,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,discrimination,is_augmentation,7.512449812835992e-07,1.1014143146508008e-06,8,6,2,0.7284028891467806,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,discrimination,source_GPT,-6.2438010027435e-08,3.9659574594129375e-07,8,6,2,0.7284028891467806,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,discrimination,source_Gemini,7.597819476471049e-08,4.870222586333339e-07,8,6,2,0.7284028891467806,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,discrimination,source_Qwen,1.0264894373894788e-07,6.041153386351719e-07,8,6,2,0.7284028891467806,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
gpqa,discrimination,mean_flaws,-5.181473160780403e-07,1.9961428416038757e-06,8,6,2,0.7284028891467806,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,difficulty,intercept,-0.5476180742366482,0.8627203120327096,8,6,2,0.9971675005375381,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,difficulty,is_augmentation,0.4781544798942258,0.15326488241780306,8,6,2,0.9971675005375381,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,difficulty,source_GPT,0.28101528370287876,0.04265186380608721,8,6,2,0.9971675005375381,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,difficulty,source_Gemini,0.17724331351603415,0.1177163938847744,8,6,2,0.9971675005375381,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,difficulty,source_Qwen,0.0063223895959168275,0.0707178325662813,8,6,2,0.9971675005375381,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,difficulty,mean_flaws,0.2171122492347538,0.2770576232137913,8,6,2,0.9971675005375381,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,discrimination,intercept,0.6724699788570557,0.717665843466879,8,6,2,0.8706861504296622,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,discrimination,is_augmentation,-0.149923396223028,0.12749551573100593,8,6,2,0.8706861504296622,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,discrimination,source_GPT,0.025261946377599636,0.035480543794904264,8,6,2,0.8706861504296622,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,discrimination,source_Gemini,0.05189056976944062,0.09792401306530607,8,6,2,0.8706861504296622,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,discrimination,source_Qwen,-0.010780314999860244,0.05882760872669191,8,6,2,0.8706861504296622,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
mmlu_pro,discrimination,mean_flaws,0.17027335590641596,0.2304742221545325,8,6,2,0.8706861504296622,Grouped OLS over final figure rows; source terms are relative to Human; includes augmentation indicator and mean flaws.
