dataset,sample_id,missing_count,missing
gpqa,gpqa:recePdwdV9KRLqPDx,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:rec4Md9alOxTHa2QG,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
gpqa,gpqa:recBeOYL2vJeESmQ5,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
gpqa,gpqa:recC9TQpdpRVRFzXO,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
gpqa,gpqa:recHn7vGOLWx9rnh3,1,together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
gpqa,gpqa:recM9L6M7a0A5bj47,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
gpqa,gpqa:recYCMJWH7IpcdqwE,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
gpqa,gpqa:recYG3SqTUBlu7jvf,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
gpqa,gpqa:recf6ayQmL1SxKbvW,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
gpqa,gpqa:recypVp2NmPlBKVTp,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:2165,11,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;gen_gpt52_v2/openai_gpt-5.2-2025-12-11:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
mmlu_pro,mmlu_pro:1252,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
mmlu_pro,mmlu_pro:1450,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
mmlu_pro,mmlu_pro:436,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
mmlu_pro,mmlu_pro:867,10,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:model_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_model;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_ablation;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:model_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_model;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_ablation
mmlu_pro,mmlu_pro:1073,4,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1117,4,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1139,4,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1503,4,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:human_from_scratch;gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:human_from_scratch;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1078,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1083,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1123,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1226,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1227,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1243,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1305,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1415,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1498,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1565,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1740,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1829,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1867,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:2401,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:869,2,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human;together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1090,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1159,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1168,1,together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1191,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1231,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1300,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1304,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1311,1,together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1366,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1391,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1395,1,together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1419,1,together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1446,1,together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1599,1,together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:1721,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1745,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:1853,1,together_from_scratch_testing/together_Qwen_Qwen3.5-397B-A17B:augment_human
mmlu_pro,mmlu_pro:889,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:914,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:954,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
mmlu_pro,mmlu_pro:955,1,gemini_from_scratch_testing/google_gemini-3.1-pro-preview:augment_human
