generation_run_name,generator,dataset,sample_id,eval_model,eval_model_display,setting,evaluation_prediction,correct_answer_letter,distractor_source,source_status,round_split_status
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7128923,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,H,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_407138,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,G,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_177748,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,J,B,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_401375,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,I,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_400052,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,F,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7212870,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,I,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_416593,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,F,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7027720,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,G,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:VASoL_2009_3_12,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,I,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:NCEOGA_2013_8_57,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:NCEOGA_2013_5_11,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,I,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:WASL_2004_8_17,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,F,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MEA_2013_5_15,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,F,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7159075,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,I,J,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2004_9_10-v1,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_401361,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,B,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2004_8_7,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,J,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_415457,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7057085,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7024395,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,J,C,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7139650,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_416407,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,G,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7142520,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_405685,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7015208,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7024273,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2003_8_21,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,I,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2014_8_16,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,I,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_LBS10610,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,H,G,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_407400,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,E,F,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7218820,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,J,G,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7171605,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,E,F,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7235638,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,G,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_415303,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,H,J,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7127943,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,B,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7064575,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,B,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_400811,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,E,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7086695,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,C,I,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_412374,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,C,I,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_401818,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,H,B,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7099330,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,G,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7198468,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,H,J,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7025008,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,C,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7128923,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,H,J,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_407138,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,B,F,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7206378,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,D,I,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7199028,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,D,J,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_415006,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,H,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_178255,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,G,E,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_417460,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,E,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:NCEOGA_2013_8_57,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,C,B,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7126263,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,B,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7027248,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,A,C,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_416230,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,I,E,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MEA_2013_5_15,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,D,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2006_9_30,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,I,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2004_9_10-v1,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,B,C,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_401666,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,D,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_407613,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,H,J,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_401668,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,C,I,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2011_8_17694,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,J,A,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7210123,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,A,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2006_9_4,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,G,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_402341,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,J,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_417128,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,H,G,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_SC_401661,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,B,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MDSA_2008_4_19,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,D,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7024395,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,E,I,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7139650,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,E,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:NAEP_2005_8_S11+1,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,A,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_416407,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,G,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:Mercury_7015208,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,F,E,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2003_8_21,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,J,B,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,arc_challenge,arc_challenge:MCAS_2014_8_16,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,G,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec0LlchAeJwY28ZY,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,H,B,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec0yTRmO1o1xCA6H,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,I,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec1AAE9RApPLqeqt,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,H,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec1Ey0Fnt2RhnsmU,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec1oj2DveQWl9Rpw,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,F,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec2ZTsqazBZ3LTWZ,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec2fEZkqcDWMh1JV,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,B,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec3VinRRdXScdEMI,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec4J0X5OLsY61yQm,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec4r4KWNLrT7g2kR,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,A,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec5UhR77onQftbyk,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,B,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec5rjeLsEq5Fg7Oj,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec7qmSnbud4FHSqL,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,I,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec8CavTqDWHF8KJj,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,J,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:rec8mjcMS01O8rOLR,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,F,E,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recAYkd96NNuNl1Ei,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,B,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recBGxVySx1pkrO1i,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,E,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recBXlqrZUCR897It,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,B,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recBhnXrUyTJ6WHIR,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recDDxpS9s8cwkqfq,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recDj2Y2BbtV02Wv5,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,G,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recDytVnNYZe2HuUU,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,J,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recEOfvRabVkK4MTg,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,F,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recEitMlu2rOnMmkn,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recEmTBhx2hgw6tPQ,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,B,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recF4XZ3k6osbZeZi,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,J,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recFperaY3GpdU6oG,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,H,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recGGT3pm4I7J2GXy,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,A,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recGee5m84dg5FZkc,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,J,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recHVUd2DkoKfedJZ,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recIm3gjvmPQiEZih,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,G,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recJZ3QEfRKjYw9a7,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recJpyGtGIsxulevT,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,F,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recKHoKLpcxt8aOjM,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,F,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recKeCj07mR2qOvCH,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recKtFwQZd4n2RZCk,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recLFSUuIxZo6jcFr,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,C,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recLSALHT675vkEwE,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,B,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recMGSnbWcPCIgYTN,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,C,E,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recN4DY9Q5V03glmQ,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,J,B,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recNGovj5Pv0yxbfx,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,H,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recNfEV6AjS2ZFn5W,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,D,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recOYsaYs6RmtlTDy,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,I,C,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recOj90oKbiyjLcBd,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,D,H,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recOvqPKUtyy9ISA1,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,G,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recQ8oxSY2aCwFRS8,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,D,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recQWH5bK8Z9btsrr,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,A,H,round2,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recQiWOxhkXRz9NVE,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,E,B,round1,kept,matched
gemini_from_scratch_testing,google/gemini-3.1-pro-preview,gpqa,gpqa:recRVn0fyFjTbKdq4,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,B,E,round2,kept,matched
