setting,eval_model,source_status,count,eval_model_display
augment_human,vllm/LiquidAI/LFM2-2.6B,correct,2876,vllm/LiquidAI/LFM2-2.6B
augment_human,vllm/LiquidAI/LFM2-2.6B,kept,4191,vllm/LiquidAI/LFM2-2.6B
augment_human,vllm/LiquidAI/LFM2-2.6B,random_fallback,25,vllm/LiquidAI/LFM2-2.6B
augment_human,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,correct,3440,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit
augment_human,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,kept,3587,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit
augment_human,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,random_fallback,65,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit
augment_human,vllm/google/gemma-3-12b-it,correct,3717,vllm/google/gemma-3-12b-it
augment_human,vllm/google/gemma-3-12b-it,kept,3370,vllm/google/gemma-3-12b-it
augment_human,vllm/google/gemma-3-12b-it,random_fallback,5,vllm/google/gemma-3-12b-it
augment_human,vllm/google/gemma-3-4b-it,correct,2586,vllm/google/gemma-3-4b-it
augment_human,vllm/google/gemma-3-4b-it,kept,4501,vllm/google/gemma-3-4b-it
augment_human,vllm/google/gemma-3-4b-it,random_fallback,5,vllm/google/gemma-3-4b-it
augment_human,vllm/ibm-granite/granite-4.0-1b,correct,2073,vllm/ibm-granite/granite-4.0-1b
augment_human,vllm/ibm-granite/granite-4.0-1b,kept,5013,vllm/ibm-granite/granite-4.0-1b
augment_human,vllm/ibm-granite/granite-4.0-1b,random_fallback,6,vllm/ibm-granite/granite-4.0-1b
augment_human,vllm/ibm-granite/granite-4.0-micro,correct,2439,vllm/ibm-granite/granite-4.0-micro
augment_human,vllm/ibm-granite/granite-4.0-micro,kept,4653,vllm/ibm-granite/granite-4.0-micro
augment_human,vllm/meta-llama/Llama-3.2-3B-Instruct,correct,2506,vllm/meta-llama/Llama-3.2-3B-Instruct
augment_human,vllm/meta-llama/Llama-3.2-3B-Instruct,kept,4575,vllm/meta-llama/Llama-3.2-3B-Instruct
augment_human,vllm/meta-llama/Llama-3.2-3B-Instruct,random_fallback,11,vllm/meta-llama/Llama-3.2-3B-Instruct
augment_model,vllm/meta-llama/Llama-3.1-8B-Instruct,correct,3144,Llama3.1-8B
augment_model,vllm/meta-llama/Llama-3.1-8B-Instruct,kept,3939,Llama3.1-8B
augment_model,vllm/meta-llama/Llama-3.1-8B-Instruct,random_fallback,9,Llama3.1-8B
augment_model,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,correct,4635,Nemotron-Nano-9B
augment_model,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,kept,2456,Nemotron-Nano-9B
augment_model,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,random_fallback,1,Nemotron-Nano-9B
augment_model,vllm/allenai/Olmo-3-7B-Instruct,correct,2661,Olmo3-7B
augment_model,vllm/allenai/Olmo-3-7B-Instruct,kept,4431,Olmo3-7B
augment_model,vllm/Qwen/Qwen3-4B-Instruct-2507,correct,3663,Qwen3-4B
augment_model,vllm/Qwen/Qwen3-4B-Instruct-2507,kept,3429,Qwen3-4B
augment_model,openai/gpt-5.4-mini,correct,5864,openai/gpt-5.4-mini
augment_model,openai/gpt-5.4-mini,kept,1225,openai/gpt-5.4-mini
augment_model,openai/gpt-5.4-mini,random_fallback,3,openai/gpt-5.4-mini
augment_model,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,correct,2793,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B
augment_model,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,kept,3267,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B
augment_model,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,random_fallback,1032,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B
augment_model,vllm/LiquidAI/LFM2-1.2B,correct,1497,vllm/LiquidAI/LFM2-1.2B
augment_model,vllm/LiquidAI/LFM2-1.2B,kept,5541,vllm/LiquidAI/LFM2-1.2B
augment_model,vllm/LiquidAI/LFM2-1.2B,random_fallback,54,vllm/LiquidAI/LFM2-1.2B
augment_model,vllm/LiquidAI/LFM2-2.6B,correct,2940,vllm/LiquidAI/LFM2-2.6B
augment_model,vllm/LiquidAI/LFM2-2.6B,kept,4134,vllm/LiquidAI/LFM2-2.6B
augment_model,vllm/LiquidAI/LFM2-2.6B,random_fallback,18,vllm/LiquidAI/LFM2-2.6B
augment_model,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,correct,3459,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit
augment_model,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,kept,3572,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit
augment_model,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,random_fallback,61,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit
augment_model,vllm/google/gemma-3-12b-it,correct,3703,vllm/google/gemma-3-12b-it
augment_model,vllm/google/gemma-3-12b-it,kept,3383,vllm/google/gemma-3-12b-it
augment_model,vllm/google/gemma-3-12b-it,random_fallback,6,vllm/google/gemma-3-12b-it
augment_model,vllm/google/gemma-3-4b-it,correct,2607,vllm/google/gemma-3-4b-it
augment_model,vllm/google/gemma-3-4b-it,kept,4479,vllm/google/gemma-3-4b-it
augment_model,vllm/google/gemma-3-4b-it,random_fallback,6,vllm/google/gemma-3-4b-it
augment_model,vllm/ibm-granite/granite-4.0-1b,correct,2043,vllm/ibm-granite/granite-4.0-1b
augment_model,vllm/ibm-granite/granite-4.0-1b,kept,5045,vllm/ibm-granite/granite-4.0-1b
augment_model,vllm/ibm-granite/granite-4.0-1b,random_fallback,4,vllm/ibm-granite/granite-4.0-1b
augment_model,vllm/ibm-granite/granite-4.0-micro,correct,2433,vllm/ibm-granite/granite-4.0-micro
augment_model,vllm/ibm-granite/granite-4.0-micro,kept,4658,vllm/ibm-granite/granite-4.0-micro
augment_model,vllm/ibm-granite/granite-4.0-micro,random_fallback,1,vllm/ibm-granite/granite-4.0-micro
augment_model,vllm/meta-llama/Llama-3.2-3B-Instruct,correct,2530,vllm/meta-llama/Llama-3.2-3B-Instruct
augment_model,vllm/meta-llama/Llama-3.2-3B-Instruct,kept,4556,vllm/meta-llama/Llama-3.2-3B-Instruct
augment_model,vllm/meta-llama/Llama-3.2-3B-Instruct,random_fallback,6,vllm/meta-llama/Llama-3.2-3B-Instruct
