dataset,eval_model,eval_model_display,setting,distractor_source,count,proportion
gpqa,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_human,round1,256,0.39083969465648855
gpqa,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_human,round2,399,0.6091603053435114
gpqa,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_human,round1,361,0.34446564885496184
gpqa,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_human,round2,687,0.6555343511450382
gpqa,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_human,round1,325,0.3306205493387589
gpqa,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_human,round2,658,0.669379450661241
gpqa,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_human,round1,327,0.37414187643020597
gpqa,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_human,round2,547,0.6258581235697941
gpqa,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_human,round1,360,0.35856573705179284
gpqa,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_human,round2,644,0.6414342629482072
gpqa,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_human,round1,365,0.3516377649325626
gpqa,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_human,round2,673,0.6483622350674374
gpqa,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_human,round1,363,0.3398876404494382
gpqa,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_human,round2,705,0.6601123595505618
gpqa,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_human,round1,352,0.3292797006548176
gpqa,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_human,round2,717,0.6707202993451824
gpqa,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_human,round1,364,0.3607532210109019
gpqa,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_human,round2,645,0.6392467789890981
gpqa,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_model,round1,374,0.3936842105263158
gpqa,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_model,round2,576,0.6063157894736843
gpqa,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_model,round1,349,0.5193452380952381
gpqa,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_model,round2,323,0.4806547619047619
gpqa,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_model,round1,421,0.44176285414480587
gpqa,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_model,round2,532,0.5582371458551941
gpqa,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_model,round1,409,0.4402583423035522
gpqa,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_model,round2,520,0.5597416576964478
gpqa,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,round1,194,0.5449438202247191
gpqa,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,round2,162,0.4550561797752809
gpqa,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_model,round1,274,0.4477124183006536
gpqa,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_model,round2,338,0.5522875816993464
gpqa,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_model,round1,356,0.3403441682600382
gpqa,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_model,round2,690,0.6596558317399618
gpqa,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_model,round1,366,0.386892177589852
gpqa,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_model,round2,580,0.6131078224101479
gpqa,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_model,round1,377,0.4323394495412844
gpqa,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_model,round2,495,0.5676605504587156
gpqa,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_model,round1,398,0.41200828157349895
gpqa,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_model,round2,568,0.587991718426501
gpqa,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_model,round1,406,0.3896353166986564
gpqa,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_model,round2,636,0.6103646833013435
gpqa,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_model,round1,394,0.3741690408357075
gpqa,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_model,round2,659,0.6258309591642925
gpqa,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_model,round1,378,0.35492957746478876
gpqa,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_model,round2,687,0.6450704225352113
gpqa,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_model,round1,379,0.3782435129740519
gpqa,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_model,round2,623,0.6217564870259481
mmlu_pro,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_human,round1,812,0.41683778234086244
mmlu_pro,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_human,round2,1136,0.5831622176591376
mmlu_pro,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_human,round1,516,0.3944954128440367
mmlu_pro,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_human,round2,792,0.6055045871559633
mmlu_pro,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_human,round1,885,0.4068965517241379
mmlu_pro,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_human,round2,1290,0.593103448275862
mmlu_pro,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_human,round1,700,0.3839824465167307
mmlu_pro,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_human,round2,1123,0.6160175534832694
mmlu_pro,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,round1,243,0.40978077571669475
mmlu_pro,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_human,round2,350,0.5902192242833052
mmlu_pro,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_human,round1,611,0.3725609756097561
mmlu_pro,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_human,round2,1029,0.6274390243902439
mmlu_pro,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_human,round1,834,0.33957654723127034
mmlu_pro,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_human,round2,1622,0.6604234527687296
mmlu_pro,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_human,round1,805,0.38832609744331886
mmlu_pro,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_human,round2,1268,0.6116739025566812
mmlu_pro,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_human,round1,733,0.39093333333333335
mmlu_pro,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_human,round2,1142,0.6090666666666666
mmlu_pro,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_human,round1,647,0.3899939722724533
mmlu_pro,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_human,round2,1012,0.6100060277275468
mmlu_pro,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_human,round1,846,0.387717690192484
mmlu_pro,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_human,round2,1336,0.6122823098075161
mmlu_pro,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_human,round1,917,0.3892190152801358
mmlu_pro,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_human,round2,1439,0.6107809847198642
mmlu_pro,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_human,round1,763,0.3412343470483005
mmlu_pro,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_human,round2,1473,0.6587656529516994
mmlu_pro,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_human,round1,826,0.3847228691197019
mmlu_pro,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_human,round2,1321,0.6152771308802981
mmlu_pro,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_model,round1,958,0.5058078141499472
mmlu_pro,vllm/meta-llama/Llama-3.1-8B-Instruct,Llama3.1-8B,augment_model,round2,936,0.4941921858500528
mmlu_pro,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_model,round1,749,0.5726299694189603
mmlu_pro,vllm/nvidia/NVIDIA-Nemotron-Nano-9B-v2,Nemotron-Nano-9B,augment_model,round2,559,0.42737003058103973
mmlu_pro,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_model,round1,956,0.4548049476688868
mmlu_pro,vllm/allenai/Olmo-3-7B-Instruct,Olmo3-7B,augment_model,round2,1146,0.5451950523311132
mmlu_pro,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_model,round1,866,0.4945745288406625
mmlu_pro,vllm/Qwen/Qwen3-4B-Instruct-2507,Qwen3-4B,augment_model,round2,885,0.5054254711593376
mmlu_pro,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,round1,366,0.6059602649006622
mmlu_pro,openai/gpt-5.4-mini,openai/gpt-5.4-mini,augment_model,round2,238,0.39403973509933776
mmlu_pro,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_model,round1,789,0.47616173808086903
mmlu_pro,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,vllm/LGAI-EXAONE/EXAONE-4.0-1.2B,augment_model,round2,868,0.523838261919131
mmlu_pro,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_model,round1,988,0.4014628199918732
mmlu_pro,vllm/LiquidAI/LFM2-1.2B,vllm/LiquidAI/LFM2-1.2B,augment_model,round2,1473,0.5985371800081267
mmlu_pro,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_model,round1,1009,0.4881470730527334
mmlu_pro,vllm/LiquidAI/LFM2-2.6B,vllm/LiquidAI/LFM2-2.6B,augment_model,round2,1058,0.5118529269472666
mmlu_pro,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_model,round1,931,0.5172222222222222
mmlu_pro,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,vllm/cyankiwi/Olmo-3.1-32B-Instruct-AWQ-4bit,augment_model,round2,869,0.48277777777777775
mmlu_pro,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_model,round1,892,0.5228604923798359
mmlu_pro,vllm/google/gemma-3-12b-it,vllm/google/gemma-3-12b-it,augment_model,round2,814,0.4771395076201641
mmlu_pro,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_model,round1,1098,0.5078630897317299
mmlu_pro,vllm/google/gemma-3-4b-it,vllm/google/gemma-3-4b-it,augment_model,round2,1064,0.4921369102682701
mmlu_pro,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_model,round1,1106,0.46983857264231094
mmlu_pro,vllm/ibm-granite/granite-4.0-1b,vllm/ibm-granite/granite-4.0-1b,augment_model,round2,1248,0.530161427357689
mmlu_pro,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_model,round1,937,0.41830357142857144
mmlu_pro,vllm/ibm-granite/granite-4.0-micro,vllm/ibm-granite/granite-4.0-micro,augment_model,round2,1303,0.5816964285714286
mmlu_pro,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_model,round1,956,0.4550214183722037
mmlu_pro,vllm/meta-llama/Llama-3.2-3B-Instruct,vllm/meta-llama/Llama-3.2-3B-Instruct,augment_model,round2,1145,0.5449785816277963
